Warning: truncated output (original token count: 28163)
Total output lines: 1213

date,cash,market_value,positions,return,drawdown
2021-07-16,60633.910867221566,289049.91086722154,18,-0.007625203606454467,-0.7264808761449868
2021-07-19,92919.30953335663,290308.30953335663,16,0.0043535687741940166,-0.7252900918282268
2021-07-20,92919.30953335663,291773.30953335663,16,0.005046359170203685,-0.7239038069639783
2021-07-21,92919.30953335663,292263.30953335663,16,0.0016793859616004436,-0.7234401348933424
2021-07-22,92919.30953335663,291889.30953335663,16,-0.0012796679836314384,-0.7237940396982767
2021-07-23,92919.30953335663,294225.30953335663,16,0.008003033765555001,-0.7215835540717345
2021-07-26,86577.0641656666,294020.0641656666,16,-0.0006975788997063415,-0.7217777715097453
2021-07-27,86577.0641656666,287998.0641656666,16,-0.020481595421348087,-0.7274762066309085
2021-07-28,86577.0641656666,283423.0641656666,16,-0.015885523443547545,-0.7318053897393977
2021-07-29,86577.0641656666,288321.0641656666,16,0.017281585796196985,-0.7271705615721016
2021-07-30,86577.0641656666,290278.0641656666,16,0.006787572061941027,-0.7253187120981532
2021-08-02,78388.88284130652,291612.8828413065,18,0.004598413867325846,-0.7240556138547705
2021-08-03,78388.88284130652,291792.8828413065,18,0.0006172566803159807,-0.7238852853390266
2021-08-04,78388.88284130652,294914.8828413065,18,0.010699369942130943,-0.720931031860403
2021-08-05,78388.88284130652,293454.8828413065,18,-0.004950580947064687,-0.7223125853769918
2021-08-06,78388.88284130652,295302.8828413065,18,0.006297390529362401,-0.7205638792820218
2021-08-09,65770.20177739138,282609.20177739137,17,-0.04298529341055102,-0.7325755229205902
2021-08-10,65770.20177739138,281216.20177739137,17,-0.004929068095586131,-0.7338936763785411
2021-08-11,65770.20177739138,282475.20177739137,17,0.004476982449953537,-0.7327023230378662
2021-08-12,65770.20177739138,283471.20177739137,17,0.00352597323139503,-0.7317598385840837
2021-08-13,65770.20177739138,284758.20177739137,17,0.004540143732168822,-0.7305419896965152
2021-08-16,84902.5224830914,283478.5224830914,16,-0.00449391549150302,-0.7317529112233276
2021-08-17,84902.5224830914,280729.5224830914,16,-0.00969738368861428,-0.7343542061665488
2021-08-18,84902.5224830914,281573.5224830914,16,0.0030064525901469796,-0.7335555546816166
2021-08-19,84902.5224830914,279007.5224830914,16,-0.0091130727682468,-0.7359836823004982
2021-08-20,84902.5224830914,279857.5224830914,16,0.0030465128410703812,-0.7351793531983745
2021-08-23,60221.5948261914,283678.59482619143,19,0.013653634568036033,-0.7315635888608742
2021-08-24,60221.5948261914,282337.59482619143,19,-0.00472718077591161,-0.7328325363031658
2021-08-25,60221.5948261914,282707.59482619143,19,0.001310487893855461,-0.732482416576359
2021-08-26,60221.5948261914,282923.59482619143,19,0.0007640403156936593,-0.7322780223574663
2021-08-27,60221.5948261914,282518.59482619143,19,-0.0014314818820565511,-0.73266126151789
2021-08-30,92961.87939366643,280163.8793936664,16,-0.008334727255647323,-0.7348894569880072
2021-08-31,92961.87939366643,278477.8793936664,16,-0.00601790638982036,-0.7364848674188078
2021-09-01,92961.87939366643,277082.8793936664,16,-0.005009374543634704,-0.7378049134158225
2021-09-02,92961.87939366643,279776.8793936664,16,0.00972272269544483,-0.7352556632968565
2021-09-03,92961.87939366643,278968.8793936664,16,-0.0028880156278499047,-0.7360202490786399
2021-09-06,36758.76967136139,284878.76967136137,20,0.021184765449608678,-0.7304278999719248
2021-09-07,36758.76967136139,286058.76967136137,20,0.004142112805953335,-0.7293113019242707
2021-09-08,36758.76967136139,287454.76967136137,20,0.0048801160740634675,-0.727990309657724
2021-09-09,36758.76967136139,286669.76967136137,20,-0.0027308644100686452,-0.7287331312402736
2021-09-10,36758.76967136139,283298.76967136137,20,-0.0117591750391558,-0.7319230058323429
2021-09-13,76452.31698032636,285529.3169803264,17,0.007873480395105714,-0.729812306874385
2021-09-14,76452.31698032636,280418.3169803264,17,-0.017900088348378418,-0.7346486904519781
2021-09-15,76452.31698032636,286064.3169803264,17,0.02013420542851385,-0.7293060526748131
2021-09-16,76452.31698032636,291967.3169803264,17,0.02063521959785697,-0.7237202236279472
2021-09-17,76452.31698032636,288490.3169803264,17,-0.011908867184042715,-0.727010402790399
2021-09-22,57591.21739738136,298466.2173973814,19,0.034579671586465466,-0.7175705121723694
2021-09-23,57591.21739738136,297429.2173973814,19,-0.00347443006797421,-0.7185517936769603
2021-09-24,57591.21739738136,295805.2173973814,19,-0.00546012262753004,-0.7200885353967825
2021-09-27,36746.41972912136,273544.4197291214,19,-0.0752549189771562,-0.7411532499862747
2021-09-28,36746.41972912136,274963.4197291214,19,0.005187457310974031,-0.7398104935204941
2021-09-29,36746.41972912136,262952.4197291214,19,-0.04368217420278142,-0.7511761368682677
2021-09-30,36746.41972912136,265501.4197291214,19,0.009693768943544345,-0.7487640958314286
2021-10-08,36746.41972912136,269629.4197291214,19,0.015547939458145255,-0.7448578952037033
2021-10-11,40373.06625893632,255296.0662589363,18,-0.053159456726142196,-0.7584211108826389
2021-10-12,40373.06625893632,252660.0662589363,18,-0.010325266811304523,-0.7609154773687541
2021-10-13,40373.06625893632,250698.0662589363,18,-0.0077653743587213775,-0.762772058190362
2021-10-14,40373.06625893632,253185.0662589363,18,0.009920299893463325,-0.7604186858645012
2021-10-15,40373.06625893632,251554.0662589363,18,-0.006441928128304131,-0.7619620514710468
2021-10-18,95241.84918230129,251216.8491823013,14,-0.00134053518…8163 tokens truncated…704548,12,-0.0013365641783581461,-0.8564708123693161
2023-03-27,56919.516474104836,150839.51647410484,16,-0.0055344072957100865,-0.8572651613524866
2023-03-28,56919.516474104836,149337.51647410484,16,-0.009957602855733438,-0.8586864581894158
2023-03-29,56919.516474104836,148342.51647410484,16,-0.006662759790655337,-0.8596279963736664
